analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total,
adjusted,earlychsesq0,earlych,socio,1.281,2.604,0.63,0.472,nSES Q1 vs. Q4,292,7107,"1.28 (0.63, 2.6)"
adjusted,earlychsesq1,earlych,socio,1.072,1.888,0.609,0.802,nSES Q2 vs. Q4,292,7107,"1.07 (0.61, 1.89)"
adjusted,earlychsesq2,earlych,socio,1.012,1.652,0.62,0.962,nSES Q3 vs. Q4,292,7107,"1.01 (0.62, 1.65)"
adjusted,chsesq0,ch,socio,1.448,2.455,0.855,0.166,nSES Q1 vs. Q4,292,7107,"1.45 (0.86, 2.46)"
adjusted,chsesq1,ch,socio,1.064,1.772,0.639,0.806,nSES Q2 vs. Q4,292,7107,"1.06 (0.64, 1.77)"
adjusted,chsesq2,ch,socio,1.079,1.688,0.69,0.734,nSES Q3 vs. Q4,292,7107,"1.08 (0.69, 1.69)"
adjusted,adolsesq0,adol,socio,1.476,3.133,0.695,0.299,nSES Q1 vs. Q4,292,7107,"1.48 (0.7, 3.13)"
adjusted,adolsesq1,adol,socio,1.012,1.984,0.516,0.971,nSES Q2 vs. Q4,292,7107,"1.01 (0.52, 1.98)"
adjusted,adolsesq2,adol,socio,0.998,1.694,0.588,0.995,nSES Q3 vs. Q4,292,7107,"1 (0.59, 1.69)"
adjusted,sesv_pregm,preg,socio,0.979,1.032,0.928,0.424,nSES (trend),292,7107,"0.98 (0.93, 1.03)"
adjusted,sesv_earlychm,earlych,socio,0.968,1.061,0.883,0.468,nSES (trend),292,7107,"0.97 (0.88, 1.06)"
adjusted,sesv_chm,ch,socio,0.958,1.022,0.897,0.188,nSES (trend),292,7107,"0.96 (0.9, 1.02)"
adjusted,sesv_adolm,adol,socio,0.955,1.048,0.869,0.319,nSES (trend),292,7107,"0.96 (0.87, 1.05)"
