,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
203,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,mob,nomoob,1.1064,0.71175,1.71988,0,,Intrauterine,uter
204,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,mob,nomoob,1.60537,1.1277,2.28536,1.64,,Intrauterine,uter
205,rr,Gestational age <37 weeks vs. 37-42 weeks,mob,nomoob,0.8407,0.5508,1.28317,0.69,,Intrauterine,uter
206,rr,Gestational age  >=43 week vs. 37-42 weeks,mob,nomoob,1.27278,0.98782,1.63996,0,,Intrauterine,uter
207,rr,Delivery mode C-section vs. vaginal,mob,nomoob,1.13104,0.94889,1.34816,0.54,,Intrauterine,uter
208,rr,Pregnancy complication yes vs. no,mob,nomoob,1.37757,1.10329,1.72004,3.26,,Intrauterine,uter
209,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,age,teen,1.13306,0.79057,1.62391,0.21,0.64493,Intrauterine,uter
210,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,age,teen,1.36521,1.01563,1.83512,2.04,0.15287,Intrauterine,uter
211,rr,Gestational age <37 weeks vs. 37-42 weeks,age,teen,0.86749,0.63614,1.18297,0.6,0.43842,Intrauterine,uter
212,rr,Gestational age  >=43 week vs. 37-42 weeks,age,teen,1.29896,0.99824,1.69027,0.08,0.77633,Intrauterine,uter
213,rr,Delivery mode C-section vs. vaginal,age,teen,1.19008,0.99259,1.42686,0.62,0.42896,Intrauterine,uter
214,rr,Pregnancy complication yes vs. no,age,teen,1.27717,1.02698,1.58831,0.6,0.4363,Intrauterine,uter
215,rr,Pre-pregnancy obesity yes vs. no,age,child,3.16213,1.78582,5.59916,0.13,,Intrauterine,uter
216,rr,Pre-pregnancy obesity yes vs. no,sex,female,4.27031,3.33763,5.46363,4.67,0.03052,Intrauterine,uter
217,rr,Pre-pregnancy obesity yes vs. no,sex,male,2.86486,2.19372,3.74134,4.67,,Intrauterine,uter
218,rr,Pre-pregnancy obesity yes vs. no,mob,moob,1.34738,1.03225,1.7587,3,0.08292,Intrauterine,uter
219,rr,Pre-pregnancy obesity yes vs. no,mob,nomoob,2.85329,1.27144,6.4032,3,,Intrauterine,uter
220,rr,Pre-pregnancy obesity yes vs. no,age,teen,3.53129,2.8041,4.44707,0.13,0.71507,Intrauterine,uter
1,rr,Gestational weight gain excess vs. normal,age,child,1.60099,1.19579,2.1435,0.1,,Intrauterine,gwt
2,rr,Gestational weight gain excess vs. normal,sex,female,1.68354,1.35458,2.09239,0,0.98713,Intrauterine,gwt
3,rr,Gestational weight gain excess vs. normal,sex,male,1.67946,1.36297,2.06944,0,,Intrauterine,gwt
4,rr,Gestational weight gain excess vs. normal,mob,moob,1.36537,1.0676,1.74618,0.38,0.53651,Intrauterine,gwt
5,rr,Gestational weight gain excess vs. normal,mob,nomoob,1.50852,1.22154,1.86291,0.38,,Intrauterine,gwt
6,rr,Gestational weight gain excess vs. normal,age,teen,1.69569,1.38855,2.07076,0.1,0.74529,Intrauterine,gwt
