,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
116,rr,Western diet (m) Q2 vs. Q1,age,teen,1.14658,0.92967,1.41409,0,0.92927,Maternal,mom
117,rr,Western diet (m) Q3 vs. Q1,age,teen,1.247,0.99236,1.56698,0.01,0.90562,Maternal,mom
118,rr,Western diet (m) Q4 vs. Q1,age,teen,1.63499,1.27201,2.10155,0.09,0.75281,Maternal,mom
119,rr,Physical activity (m) Q1 vs. Q4,age,teen,1.43718,1.19169,1.73325,1.88,0.16976,Maternal,mom
120,rr,Physical activity (m) Q2 vs. Q4,age,teen,1.26259,1.05391,1.51259,0.09,0.75613,Maternal,mom
121,rr,Physical activity (m) Q3 vs. Q4,age,teen,1.2529,0.98047,1.60102,0.5,0.47923,Maternal,mom
122,rr,Smoking past vs. never,age,teen,1.20856,1.04742,1.39449,0.83,0.35983,Maternal,mom
123,rr,Smoking current vs. never,age,teen,1.53651,1.2292,1.92064,3.84,0.04983,Maternal,mom
124,rr,Night-shift work Q2 vs. Q1,age,teen,1.15049,0.94244,1.40447,2.9,0.0884,Maternal,mom
125,rr,Night-shift work Q3 vs. Q1,age,teen,1.19784,0.98926,1.4504,0.01,0.90599,Maternal,mom
126,rr,Night-shift work Q4 vs. Q1,age,teen,1.30715,1.10239,1.54993,1.85,0.17368,Maternal,mom
179,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,age,child,0.95089,0.36738,2.46118,0.15,,Intrauterine,uter
180,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,age,child,2.18285,1.14073,4.17701,1.65,,Intrauterine,uter
181,rr,Gestational age <37 weeks vs. 37-42 weeks,age,child,1.17214,0.56607,2.4271,0.49,,Intrauterine,uter
182,rr,Gestational age  >=43 week vs. 37-42 weeks,age,child,1.47087,0.9141,2.36677,0.34,,Intrauterine,uter
183,rr,Delivery mode C-section vs. vaginal,age,child,1.35705,0.98813,1.86371,0.6,,Intrauterine,uter
184,rr,Pregnancy complication yes vs. no,age,child,1.44858,0.99062,2.11826,0.41,,Intrauterine,uter
185,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,sex,female,1.29418,0.82818,2.0224,0.82,0.36387,Intrauterine,uter
186,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,sex,female,0.9678,0.45146,2.07468,2,0.15629,Intrauterine,uter
187,rr,Gestational age <37 weeks vs. 37-42 weeks,sex,female,0.89822,0.61278,1.31663,0.08,0.76625,Intrauterine,uter
188,rr,Gestational age  >=43 week vs. 37-42 weeks,sex,female,1.30503,0.95758,1.77855,0.01,0.9004,Intrauterine,uter
189,rr,Delivery mode C-section vs. vaginal,sex,female,1.13159,0.90354,1.4172,0.7,0.40181,Intrauterine,uter
190,rr,Pregnancy complication yes vs. no,sex,female,1.27406,0.93789,1.73073,0,0.94118,Intrauterine,uter
191,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,sex,male,0.95719,0.59254,1.54624,0.82,,Intrauterine,uter
192,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,sex,male,1.71003,1.24387,2.3509,2,,Intrauterine,uter
193,rr,Gestational age <37 weeks vs. 37-42 weeks,sex,male,0.97205,0.67966,1.39021,0.08,,Intrauterine,uter
194,rr,Gestational age  >=43 week vs. 37-42 weeks,sex,male,1.27068,0.95455,1.6915,0.01,,Intrauterine,uter
195,rr,Delivery mode C-section vs. vaginal,sex,male,1.27631,1.06837,1.52472,0.7,,Intrauterine,uter
196,rr,Pregnancy complication yes vs. no,sex,male,1.29261,1.00568,1.6614,0,,Intrauterine,uter
197,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,mob,moob,1.17692,0.6288,2.20281,0.03,0.85691,Intrauterine,uter
198,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,mob,moob,1.08296,0.71858,1.63211,1.79,0.1806,Intrauterine,uter
199,rr,Gestational age <37 weeks vs. 37-42 weeks,mob,moob,1.10506,0.69236,1.76375,0.62,0.4305,Intrauterine,uter
200,rr,Gestational age  >=43 week vs. 37-42 weeks,mob,moob,1.25978,0.86691,1.83069,0,0.95244,Intrauterine,uter
201,rr,Delivery mode C-section vs. vaginal,mob,moob,1.16417,0.90959,1.48999,0,0.94547,Intrauterine,uter
202,rr,Pregnancy complication yes vs. no,mob,moob,0.98709,0.68176,1.42916,1.88,0.16985,Intrauterine,uter
203,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,mob,nomoob,1.10095,0.7401,1.63773,0.03,,Intrauterine,uter
204,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,mob,nomoob,1.61975,1.02746,2.55346,1.79,,Intrauterine,uter
205,rr,Gestational age <37 weeks vs. 37-42 weeks,mob,nomoob,0.88128,0.63757,1.21815,0.62,,Intrauterine,uter
206,rr,Gestational age  >=43 week vs. 37-42 weeks,mob,nomoob,1.24294,0.97274,1.58819,0,,Intrauterine,uter
207,rr,Delivery mode C-section vs. vaginal,mob,nomoob,1.1521,0.96135,1.38069,0,,Intrauterine,uter
208,rr,Pregnancy complication yes vs. no,mob,nomoob,1.31236,1.05742,1.62878,1.88,,Intrauterine,uter
209,rr,Birth weight <=2.5 kg vs. 2.6-4.4 kg,age,teen,1.15675,0.81228,1.64732,0.15,0.69766,Intrauterine,uter
210,rr,Birth weight >=4.5 kg vs. 2.6-4.4 kg,age,teen,1.37653,1.00426,1.8868,1.65,0.19856,Intrauterine,uter
211,rr,Gestational age <37 weeks vs. 37-42 weeks,age,teen,0.89329,0.66812,1.19436,0.49,0.4838,Intrauterine,uter
212,rr,Gestational age  >=43 week vs. 37-42 weeks,age,teen,1.25349,0.97528,1.61106,0.34,0.55758,Intrauterine,uter
213,rr,Delivery mode C-section vs. vaginal,age,teen,1.17899,0.99906,1.39134,0.6,0.4361,Intrauterine,uter
214,rr,Pregnancy complication yes vs. no,age,teen,1.25188,0.97481,1.6077,0.41,0.52155,Intrauterine,uter
215,rr,Pre-pregnancy obesity yes vs. no,age,child,2.95132,1.82748,4.76627,0.45,,Intrauterine,uter
216,rr,Pre-pregnancy obesity yes vs. no,sex,female,4.13175,3.20758,5.3222,3.71,0.05403,Intrauterine,uter
217,rr,Pre-pregnancy obesity yes vs. no,sex,male,2.93502,2.30493,3.73737,3.71,,Intrauterine,uter
218,rr,Pre-pregnancy obesity yes vs. no,mob,moob,1.34752,1.09594,1.65684,3.57,0.05883,Intrauterine,uter
219,rr,Pre-pregnancy obesity yes vs. no,mob,nomoob,2.9997,1.33636,6.73338,3.57,,Intrauterine,uter
220,rr,Pre-pregnancy obesity yes vs. no,age,teen,3.52249,2.92094,4.24792,0.45,0.49784,Intrauterine,uter
1,rr,Gestational weight gain excess vs. normal,age,child,1.63331,1.22303,2.18121,0.05,,Intrauterine,gwt
2,rr,Gestational weight gain excess vs. normal,sex,female,1.68185,1.36351,2.0745,0,0.94524,Intrauterine,gwt
3,rr,Gestational weight gain excess vs. normal,sex,male,1.69875,1.38615,2.08186,0,,Intrauterine,gwt
4,rr,Gestational weight gain excess vs. normal,mob,moob,1.28739,0.96622,1.71531,1.2,0.27294,Intrauterine,gwt
5,rr,Gestational weight gain excess vs. normal,mob,nomoob,1.54365,1.30113,1.83136,1.2,,Intrauterine,gwt
6,rr,Gestational weight gain excess vs. normal,age,teen,1.70081,1.42107,2.03562,0.05,0.81316,Intrauterine,gwt
