"category","exposure","Male PAR (95% CI)","Female PAR (95% CI)","p-value* (PAR/sex)","Male RR (95% CI)","Female RR (95% CI)","p-value* (RR/sex)","Child PAR (95% CI)","Teen PAR (95% CI)","p-value* (PAR/age)","Child RR (95% CI)","Teen RR (95% CI)","p-value* (RR/age)","Mom Obese PAR (95% CI)","Mom Not Obese PAR (95% CI)","p-value* (PAR/mob)","Mom Obese RR (95% CI)","Mom Not Obese RR (95% CI)","p-value* (RR/mob)"
"Maternal","Maternal past smokers vs. never","4.65 (4.19, 5.41)","3.79 (2.23, 5.00)","=""0.80""","1.21 (1.03, 1.42)","1.17 (0.95, 1.45)","=""0.81""","0.78 (0.00, 2.70)","4.58 (3.57, 5.18)","=""0.38""","1.02 (0.73, 1.43)","1.21 (1.05, 1.39)","=""0.36""","4.34 (2.95, 5.38)","3.84 (2.28, 4.84)","=""0.89""","1.19 (0.94, 1.51)","1.17 (0.99, 1.39)","=""0.90"""
"Maternal","Maternal current smokers vs. never","2.08 (1.80, 2.44)","2.56 (1.89, 3.22)","=""0.78""","1.39 (1.06, 1.83)","1.41 (1.03, 1.93)","=""0.94""",NA,"2.92 (2.65, 3.46)","=""NA""","0.79 (0.42, 1.49)","1.54 (1.23, 1.92)","=""0.05""","0.78 (0.14, 1.12)","2.95 (2.71, 3.46)","=""0.19""","1.13 (0.75, 1.70)","1.53 (1.21, 1.93)","=""0.21"""
"Maternal","Maternal night shift hours Q2 vs. Q1","4.26 (3.43, 5.73)","2.37 (1.42, 3.45)","=""0.59""","1.22 (0.98, 1.52)","1.13 (0.88, 1.44)","=""0.63""","8.61 (7.62, 9.42)","2.98 (2.22, 4.77)","=""0.17""","1.67 (1.14, 2.45)","1.15 (0.94, 1.40)","=""0.09""","2.35 (1.40, 4.35)","3.60 (2.84, 4.62)","=""0.74""","1.13 (0.82, 1.56)","1.18 (0.98, 1.43)","=""0.81"""
"Maternal","Maternal night shift hours Q3 vs. Q1","3.21 (1.34, 4.93)","5.13 (4.35, 6.20)","=""0.61""","1.15 (0.90, 1.47)","1.26 (1.00, 1.59)","=""0.60""","3.67 (2.44, 4.86)","4.04 (2.59, 5.04)","=""0.94""","1.17 (0.80, 1.70)","1.20 (0.99, 1.45)","=""0.91""","1.44 (0.23, 3.49)","3.82 (2.26, 4.74)","=""0.58""","1.06 (0.78, 1.45)","1.18 (0.97, 1.44)","=""0.57"""
"Maternal","Maternal night shift hours Q4 vs. Q1","4.21 (3.32, 5.73)","7.79 (6.49, 8.80)","=""0.35""","1.20 (0.97, 1.48)","1.37 (1.09, 1.72)","=""0.39""","0.25 (0.00, 1.23)","6.42 (5.27, 7.19)","=""0.24""","0.98 (0.67, 1.43)","1.31 (1.10, 1.55)","=""0.17""","1.96 (0.01, 3.57)","4.06 (3.09, 4.83)","=""0.66""","1.07 (0.81, 1.41)","1.19 (0.99, 1.43)","=""0.50"""
"Intrauterine","Maternal pre-pregnancy obesity vs. no obesity","6.07 (5.84, 6.39)","10.34 (9.70, 11.00)","=""0.02""","2.94 (2.30, 3.74)","4.13 (3.21, 5.32)","=""0.05""","6.35 (5.55, 7.14)","8.14 (7.80, 8.65)","=""0.45""","2.95 (1.83, 4.77)","3.52 (2.92, 4.25)","=""0.50""","9.68 (9.07, 10.57)","0.45 (0.36, 0.54)","=""0.01""","1.35 (1.10, 1.66)","3.00 (1.34, 6.73)","=""0.06"""
"Intrauterine","Birth weight <=2.5 kg vs. 2.6-4.4 kg","0.08 (0.00, 0.39)","1.37 (1.06, 2.09)","=""0.40""","0.96 (0.59, 1.55)","1.29 (0.83, 2.02)","=""0.36""","0.36 (0.00, 1.16)","0.65 (0.34, 1.10)","=""0.89""","0.95 (0.37, 2.46)","1.16 (0.81, 1.65)","=""0.70""","0.91 (0.00, 1.61)","0.41 (0.12, 0.85)","=""0.78""","1.18 (0.63, 2.20)","1.10 (0.74, 1.64)","=""0.86"""
"Intrauterine","Birth weight >=4.5 kg vs. 2.6-4.4 kg","2.76 (2.19, 3.25)","0.16 (0.00, 0.71)","=""0.04""","1.71 (1.24, 2.35)","0.97 (0.45, 2.07)","=""0.16""","3.74 (2.07, 4.50)","1.19 (0.90, 1.56)","=""0.24""","2.18 (1.14, 4.18)","1.38 (1.00, 1.89)","=""0.20""","0.51 (0.00, 0.82)","1.59 (0.82, 2.16)","=""0.49""","1.08 (0.72, 1.63)","1.62 (1.03, 2.55)","=""0.18"""
"Intrauterine","Gestational week <37 weeks vs. 37-42 weeks","0.11 (0.00, 0.32)",NA,"=""NA""","0.97 (0.68, 1.39)","0.90 (0.61, 1.32)","=""0.77""","1.32 (0.00, 3.32)",NA,"=""NA""","1.17 (0.57, 2.43)","0.89 (0.67, 1.19)","=""0.48""","0.77 (0.08, 2.06)",NA,"=""NA""","1.11 (0.69, 1.76)","0.88 (0.64, 1.22)","=""0.43"""
"Intrauterine","Gestational week  >=43 week vs. 37-42 weeks","1.70 (1.30, 2.46)","1.86 (1.34, 2.34)","=""0.92""","1.27 (0.95, 1.69)","1.31 (0.96, 1.78)","=""0.90""","2.96 (2.30, 3.50)","1.57 (1.12, 2.21)","=""0.55""","1.47 (0.91, 2.37)","1.25 (0.98, 1.61)","=""0.56""","1.94 (1.11, 2.72)","1.45 (1.16, 1.86)","=""0.80""","1.26 (0.87, 1.83)","1.24 (0.97, 1.59)","=""0.95"""
