"","parameter","exposure","mod","group","subgroup","RR","LCI","UCI","Q_stat","p_het"
"76","rr","mopaq1","mom","sex","female",1.17246,0.89276,1.5398,"1.60",0.20475
"77","rr","mopaq2","mom","sex","female",1.14355,0.86602,1.51004,"0.34",0.55972
"78","rr","mosmk2","mom","sex","female",1.14695,0.93446,1.40775,"0.10",0.74795
"79","rr","mosmk3","mom","sex","female",1.36086,0.9717,1.90586,"0.16",0.68153
"80","rr","moshiftq1","mom","sex","female",1.09338,0.85268,1.40201,"0.81",0.36651
"81","rr","moshiftq2","mom","sex","female",1.23028,0.96354,1.57088,"0.14",0.70319
"82","rr","moshiftq3","mom","sex","female",1.32982,1.06591,1.65906,"1.09",0.29544
"83","rr","mowestq1","mom","sex","male",0.99383,0.77724,1.27079,"1.37",0.24041
"84","rr","mowestq2","mom","sex","male",0.9345,0.72207,1.20941,"5.83",0.01574
"85","rr","mowestq3","mom","sex","male",1.15397,0.86978,1.53102,"6.35",0.01169
"86","rr","mopaq0","mom","sex","male",1.47822,1.18702,1.84085,"0.19",0.65782
"87","rr","mopaq1","mom","sex","male",1.47298,1.17151,1.85202,"1.60",0.20475
"88","rr","mopaq2","mom","sex","male",1.2706,1.01507,1.59046,"0.34",0.55972
"89","rr","mosmk2","mom","sex","male",1.19796,1.0103,1.42046,"0.10",0.74795
"90","rr","mosmk3","mom","sex","male",1.49072,1.12308,1.97871,"0.16",0.68153
"91","rr","moshiftq1","mom","sex","male",1.27261,1.02304,1.58305,"0.81",0.36651
"92","rr","moshiftq2","mom","sex","male",1.15387,0.92068,1.44611,"0.14",0.70319
"93","rr","moshiftq3","mom","sex","male",1.13244,0.92329,1.38897,"1.09",0.29544
"94","rr","mowestq1","mom","mob","moob",0.93072,0.56733,1.52685,"0.30",0.58264
"95","rr","mowestq2","mom","mob","moob",1.28724,0.84107,1.97008,"1.17",0.27901
"96","rr","mowestq3","mom","mob","moob",1.01604,0.63677,1.62121,"0.93",0.33357
"97","rr","mopaq0","mom","mob","moob",1.41068,0.93632,2.12536,"0.75",0.38409
"98","rr","mopaq1","mom","mob","moob",1.30729,0.87481,1.95358,"0.16",0.68136
