Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
south,5,-0.051676,0.059492,-0.17233,0.06898,36.005,-0.092616,-0.005481,0,-0.87,0.3908,swamp,0.9496360579,0.8417005544,1.071412675
west,5,-0.255987,0.068115,-0.39692,-0.11505,22.913,-0.307756,-0.218575,0,-3.76,0.0010,swamp,0.7741522966,0.6723859068,0.8913211479
cohort,5,0.078517,0.036475,0.00685,0.15019,486.84,0.068088,0.093607,0,2.15,0.0318,swamp,1.0816819006,1.006872264,1.1620498209
chage,5,0.074167,0.007234,0.05976,0.08858,75.602,0.069420,0.077459,0,10.25,<.0001,swamp,1.0769869135,1.0615806098,1.0926168029
white,5,-0.166468,0.071295,-0.30798,-0.02496,96.534,-0.212056,-0.131375,0,-2.33,0.0216,swamp,0.8466500547,0.7349317832,0.9753508168
sex,5,-0.514836,0.035927,-0.58651,-0.44316,68.775,-0.532247,-0.491381,0,-14.33,<.0001,swamp,0.5975983089,0.5562630905,0.642005096
INTERCEPT,5,-3.414451,0.141534,-3.69421,-3.13469,143.73,-3.474121,-3.330803,0,-24.12,<.0001,swamp,0.0328944495,0.0248671237,0.0435130667
foodswamp_m,5,-0.000531,0.000427,-0.00139,0.00033,49.801,-0.000892,-0.000381,0,-1.25,0.2188,swamp,0.9994689847,0.9986130131,1.00032569
ses_m,5,-0.008982,0.007872,-0.02503,0.00707,31.421,-0.015433,-0.004824,0,-1.14,0.2625,swamp,0.9910581963,0.9752812718,1.0070903408
husbeduc,5,-0.114854,0.027183,-0.16897,-0.06074,78.467,-0.130909,-0.104083,0,-4.23,<.0001,swamp,0.8914964739,0.8445378343,0.9410661437
income,5,-0.028323,0.023806,-0.07717,0.02052,27.02,-0.046021,-0.012937,0,-1.19,0.2445,swamp,0.9720743699,0.9257350802,1.0207332538
midwest,5,-0.034766,0.038796,-0.11103,0.04150,410.43,-0.047952,-0.018439,0,-0.90,0.3707,swamp,0.965831673,0.8949116388,1.0423719842
south,5,-0.048128,0.057074,-0.16286,0.06661,48.343,-0.082291,-0.005328,0,-0.84,0.4032,swamp,0.9530114994,0.8497082562,1.0688738298
