_TYPE_,_NAME_,physician,food_desert,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
CORR,mosmk,-0.04394084,-0.037940174,,0.0552688267,0.0534781806,-0.024334145,-0.017437652,0.048984931,0.0225275473,0.020050348,0.0025459209,0.0037669686,-0.001518822,0.0084673924,0.006100423,0.0089132923,-0.050984905,1,0.1095748777,0.0048765338,0.0065591967,0.0316556062,0.0360825814,0.1154173681,-0.058404575,0.0045534623,0.0297575875,0.0385391695,0.0663168897,0.0263498381,0.0425732089,0.0453955106,0.0310848422,0.0003811334,-0.050857362,0.042713504,0.0455644925,0.0312522473,0.0007438509,-0.05056449,0.0427482031,0.0464745871,0.0318924042,0.0010354097,-0.050986056
CORR,agebirth,-0.13155587,-0.088039242,,-0.103576862,0.0921160073,-0.000699954,0.0080204485,0.3307687372,0.0826542171,0.0878991928,0.0327428524,0.0104139245,-0.021901819,0.0582046813,0.0582167435,0.0165930404,0.1268541578,0.1095748777,1,-0.060428151,-0.027017281,-0.018995106,-0.082860247,0.8623258373,-0.145711334,-0.026900431,-0.061647615,0.0595596585,0.0355760613,0.1636295451,0.0961954924,0.1165026853,0.1021214036,0.0323991125,-0.061312236,0.096000975,0.1163592925,0.1018492893,0.0321204128,-0.062401713,0.0951485655,0.1152839361,0.1009960916,0.0314482646,-0.061540972
CORR,chwest,0.0398802089,0.0454927916,,-0.018027547,0.0460952599,0.013254123,0.0132343543,-0.015837629,-0.02755107,-0.02913498,-0.010403961,-0.014557804,-0.014586739,0.0030777008,-0.013103925,-0.023149415,-0.079729308,0.0048765338,-0.060428151,1,0.7656152303,0.1619144311,0.1124537943,-0.083185013,0.2684823423,0.1420736824,-0.015475157,0.0654416496,0.0605279872,-0.072053272,-0.031005921,-0.034051018,-0.034365792,0.0123639274,0.0214155406,-0.030945894,-0.033960163,-0.034252737,0.0126136644,0.0217341872,-0.030774775,-0.03327253,-0.033876719,0.0129867058,0.0215441096
CORR,chcal,-0.010935803,0.014633385,,-0.044455395,-0.011235125,0.0261551983,0.0186797364,-0.019124381,0.0123002788,0.0124726191,-0.011550799,-0.023279483,-0.020416894,-0.01152488,-0.021546448,-0.027778489,0.0057860143,0.0065591967,-0.027017281,0.7656152303,1,0.1564109552,0.2253480244,-0.036669977,0.1743083898,0.1996966698,0.0392952372,-0.006767671,0.0526697837,0.0065318356,-0.024839352,-0.015616894,-0.022626356,0.0003893581,0.0065795615,-0.024989802,-0.015629621,-0.022503363,0.0004864848,0.0061583954,-0.02542574,-0.01548248,-0.022123887,0.0006412914,0.0066582867
CORR,chst,0.0010657552,-0.006878275,,0.1520928114,0.0606876549,-0.007165165,0.0001801135,-0.01235362,0.0174792814,0.0137077395,0.009722617,0.018739013,0.0104452484,0.0350064078,0.037526546,0.0177469882,-0.024416984,0.0316556062,-0.018995106,0.1619144311,0.1564109552,1,0.1118021237,0.0864291328,0.0450626898,-0.009771011,-0.036686406,0.0678550428,0.0320974156,0.0026117573,0.0452324178,0.0537301509,0.0539701767,0.0365690652,-0.043534849,0.045385871,0.0537605767,0.0540949035,0.036441827,-0.042989964,0.0458218992,0.0537990379,0.0543467862,0.0363370379,-0.043356611
CORR,chpa,0.0102151908,-0.000651298,,0.0873196924,-0.030029072,0.0285781275,0.0220011894,0.0074025759,0.0389982724,0.0327494459,-0.023106479,-0.026403844,-0.016175246,-0.020633144,-0.031072064,-0.032512905,-0.015921379,0.0360825814,-0.082860247,0.1124537943,0.2253480244,0.1118021237,1,0.0150600378,-0.009969163,0.0164465318,0.136209009,-0.020833563,0.0441870494,-0.003648579,-0.021624006,-0.010886158,-0.01361689,-0.028377425,0.001951169,-0.021786785,-0.011015205,-0.013782797,-0.028739184,0.001555888,-0.022194043,-0.011609967,-0.014370635,-0.029267359,0.0021373006
CORR,moage,-0.119375405,-0.081159701,,0.087523222,0.0821515317,0.0050901185,0.0302829618,0.2589504897,0.0929653962,0.095417294,0.0250046282,0.0124839509,-0.013743299,0.0663375803,0.0653661703,0.0180005537,0.126154639,0.1154173681,0.8623258373,-0.083185013,-0.036669977,0.0864291328,0.0150600378,1,-0.139208394,-0.019207496,-0.081062912,0.0593735493,0.0307834267,0.1602566154,0.094855093,0.1144594166,0.0985552029,0.0227512935,-0.062408615,0.0945343983,0.1141951778,0.0981829934,0.0223965567,-0.063955752,0.0932381634,0.1124087656,0.0970159569,0.0216214243,-0.062699467
CORR,mowest,0.1262403993,0.1003418383,,0.0393517259,0.0769680852,0.0058562454,0.0012679963,0.012275554,-0.15859569,-0.160985708,0.0218678616,0.0081947664,0.012607509,-0.000596615,-0.000888883,0.0140285907,-0.142601334,-0.058404575,-0.145711334,0.2684823423,0.1743083898,0.0450626898,-0.009969163,-0.139208394,1,0.5909556302,-0.147012463,0.1110491163,0.0347605829,-0.233861169,-0.048990979,-0.087335963,-0.071044986,0.012397265,0.0735040132,-0.04936808,-0.087686321,-0.071415586,0.0120759511,0.072257842,-0.050561234,-0.089510745,-0.072621933,0.0115785444,0.0733879116
CORR,mocal,0.0177975352,0.0111501954,,0.0067215847,-0.010523674,-0.001047477,0.0000113621,0.0043089672,-0.025307469,-0.032545621,0.0026781829,-0.009479752,-0.015551895,-0.016950725,-0.019706325,-0.016132224,0.0140903603,0.0045534623,-0.026900431,0.1420736824,0.1996966698,-0.009771011,0.0164465318,-0.019207496,0.5909556302,1,0.0619852594,-0.009916925,0.0283722041,-0.034053722,-0.022004593,-0.028735724,-0.024779336,-0.003377043,0.0370129057,-0.022197189,-0.028956567,-0.025064887,-0.003768671,0.0364499401,-0.022731509,-0.030106035,-0.026001708,-0.004387173,0.0369653156
CORR,mopa,-0.039281181,-0.032763167,,-0.018403121,-0.13074009,0.0054823841,-0.003556935,-0.028105944,0.1057628916,0.1042054628,-0.024663513,-0.014591621,-0.007645686,-0.003685225,-0.012213631,-0.021933629,0.066425879,0.0297575875,-0.061647615,-0.015475157,0.0392952372,-0.036686406,0.136209009,-0.081062912,-0.147012463,0.0619852594,1,-0.160658897,0.0473394135,0.1042899911,-0.003450747,0.0060927831,0.0040826658,-0.021545835,-0.013558437,-0.003238547,0.0062873817,0.0043576261,-0.021225445,-0.012802218,-0.002513528,0.0074896051,0.0052144119,-0.020562842,-0.013571715
