Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
west,5,-0.260609,0.066703,-0.39807,-0.12315,24.712,-0.310959,-0.226062,0,-3.91,0.0006,edu,0.7705818493,0.6716168973,0.8841296116
cohort,5,0.082360,0.036784,0.00998,0.15474,311.96,0.071186,0.099932,0,2.24,0.0259,edu,1.0858467323,1.0100336917,1.1673502932
chage,5,0.074401,0.007245,0.05997,0.08884,74.319,0.069605,0.077734,0,10.27,<.0001,edu,1.0772390132,1.0618002391,1.09290227
white,5,-0.168938,0.071124,-0.31007,-0.02781,98.686,-0.214439,-0.134288,0,-2.38,0.0195,edu,0.8445615816,0.7333970307,0.9725758836
sex,5,-0.514070,0.035984,-0.58589,-0.44225,67.163,-0.531383,-0.490670,0,-14.29,<.0001,edu,0.5980565979,0.556609231,0.6425903028
INTERCEPT,5,-3.892506,0.158433,-4.21922,-3.56579,24.383,-3.975048,-3.734529,0,-24.57,<.0001,inc,0.0203941752,0.014710062,0.0282746859
heduc1,5,0.239598,0.052718,0.13522,0.34398,119.51,0.220581,0.264852,0,4.54,<.0001,inc,1.2707380691,1.14478402,1.4105501231
heduc2,5,0.129699,0.041216,0.04779,0.21160,88.314,0.104799,0.145286,0,3.15,0.0023,inc,1.138485214,1.048955112,1.2356568624
fincome1,5,0.098787,0.072417,-0.04776,0.24533,38.45,0.051318,0.135153,0,1.36,0.1805,inc,1.1038306525,0.9533646296,1.2780441729
fincome2,5,0.042426,0.057076,-0.07247,0.15732,45.892,0.015496,0.083998,0,0.74,0.4611,inc,1.0433386251,0.9300936811,1.1703718762
fincome3,5,-0.006490,0.053667,-0.11185,0.09887,713.3,-0.023825,0.008263,0,-0.12,0.9038,inc,0.9935306889,0.8941739891,1.1039274703
midwest,5,-0.029125,0.037862,-0.10348,0.04523,624.19,-0.037574,-0.015778,0,-0.77,0.4421,inc,0.9712955191,0.9016965173,1.0462666399
south,5,-0.041564,0.056632,-0.15546,0.07233,47.556,-0.074320,0.002617,0,-0.73,0.4666,inc,0.959287555,0.856022718,1.075009569
west,5,-0.257791,0.067450,-0.39719,-0.11840,23.414,-0.309707,-0.223186,0,-3.82,0.0009,inc,0.7727565166,0.6722087556,0.8883440285
cohort,5,0.081172,0.036709,0.00897,0.15337,349.28,0.070361,0.097868,0,2.21,0.0277,inc,1.0845575874,1.0090139596,1.1657570733
chage,5,0.074508,0.007227,0.06012,0.08890,76.57,0.069706,0.077780,0,10.31,<.0001,inc,1.0773537365,1.0619597581,1.0929708633
white,5,-0.169098,0.071103,-0.31017,-0.02802,99.5,-0.214665,-0.134548,0,-2.38,0.0193,inc,0.8444265619,0.7333206426,0.9723662162
sex,5,-0.514506,0.035929,-0.58619,-0.44282,68.43,-0.531740,-0.491015,0,-14.32,<.0001,inc,0.5977958254,0.5564416338,0.6422234197
INTERCEPT,5,-3.411832,0.139279,-3.68689,-3.13678,160.61,-3.464354,-3.332034,0,-24.50,<.0001,inc,0.0329807102,0.0250498759,0.0434224603
husbeduc,5,-0.119709,0.026141,-0.17157,-0.06784,99.561,-0.132923,-0.109322,0,-4.58,<.0001,inc,0.8871783737,0.8423374033,0.9344064074
income,5,-0.035209,0.024168,-0.08551,0.01509,20.733,-0.053221,-0.020505,0,-1.46,0.1601,inc,0.9654039156,0.918044697,1.0152062566
midwest,5,-0.029413,0.037880,-0.10380,0.04498,609.03,-0.038565,-0.015789,0,-0.78,0.4378,inc,0.9710155238,0.901401264,1.0460060187
south,5,-0.040734,0.056372,-0.15399,0.07252,49.442,-0.073077,0.002830,0,-0.72,0.4733,inc,0.9600842435,0.8572787392,1.0752182605
west,5,-0.257129,0.067390,-0.39640,-0.11786,23.413,-0.308685,-0.221834,0,-3.82,0.0009,inc,0.773268595,0.6727373906,0.8888227835
cohort,5,0.082233,0.036747,0.00994,0.15453,322.08,0.071210,0.099628,0,2.24,0.0259,inc,1.0857089698,1.009988602,1.1671062078
chage,5,0.074461,0.007235,0.06005,0.08887,75.669,0.069660,0.077760,0,10.29,<.0001,inc,1.0773031083,1.0618890064,1.0929409572
white,5,-0.168743,0.071088,-0.30979,-0.02770,99.517,-0.214235,-0.134400,0,-2.37,0.0195,inc,0.8447262494,0.7336026616,0.9726824531
