Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
fastaq2,5,0.076672,0.115735,-0.15192,0.30527,157.44,0.033718,0.133682,0,0.66,0.5086,ind s,1.0796884085,0.8590556259,1.3569867006
fastaq3,5,-0.066452,0.138903,-0.34011,0.20721,234.23,-0.116965,-0.013697,0,-0.48,0.6328,ind s,0.9357078084,0.7116918501,1.2302362357
convaq1,5,-0.140567,0.157456,-0.45082,0.16968,228.41,-0.186910,-0.051963,0,-0.89,0.3729,ind s,0.8688655478,0.6371066518,1.1849308713
convaq2,5,-0.202225,0.163803,-0.52835,0.12390,77.799,-0.257626,-0.086463,0,-1.23,0.2207,ind s,0.8169112324,0.5895795849,1.1318980147
convaq3,5,-0.207890,0.168432,-0.54300,0.12722,81.276,-0.268998,-0.099435,0,-1.23,0.2207,ind s,0.8122960042,0.5810022375,1.1356665359
sesq0,5,0.479059,0.101414,0.27833,0.67979,123.86,0.421490,0.523456,0,4.72,<.0001,ind s,1.6145551227,1.3209238161,1.9734584329
sesq1,5,0.360171,0.093323,0.17672,0.54363,407.01,0.340888,0.406001,0,3.86,0.0001,ind s,1.4335741836,1.1932915169,1.7222404675
sesq2,5,0.224751,0.093596,0.04052,0.40898,283.89,0.194312,0.272504,0,2.40,0.0170,ind s,1.25201082,1.041352821,1.5052833791
heduc1,5,0.295411,0.088129,0.12224,0.46858,478.58,0.267072,0.320602,0,3.35,0.0009,ind s,1.3436786468,1.1300287931,1.5977223916
heduc2,5,0.140257,0.068092,0.00669,0.27383,1437.9,0.120891,0.158049,0,2.06,0.0396,ind s,1.1505698671,1.00671014,1.3149872705
fincome1,5,0.148457,0.111276,-0.06972,0.36664,3229.6,0.127363,0.169656,0,1.33,0.1823,ind s,1.1600427621,0.932653495,1.4428715669
fincome2,5,0.094895,0.113644,-0.13608,0.32587,33.895,0.007743,0.154221,0,0.84,0.4096,ind s,1.0995429201,0.8727690339,1.3852400648
fincome3,5,0.026335,0.108994,-0.18967,0.24234,109.69,-0.041308,0.076277,0,0.24,0.8095,ind s,1.0266844072,0.8272290214,1.2742310105
midwest,5,0.020684,0.066992,-0.11071,0.15208,1703.5,-0.000920,0.035176,0,0.31,0.7575,ind s,1.0208997619,0.8951981752,1.1642520648
south,5,-0.009358,0.097459,-0.20352,0.18480,74.787,-0.077483,0.028304,0,-0.10,0.9238,ind s,0.990685807,0.8158574741,1.2029777251
west,5,-0.176902,0.103040,-0.38009,0.02629,198.99,-0.215311,-0.132122,0,-1.72,0.0876,ind s,0.8378621597,0.6837989078,1.0266366188
cohort,5,0.060051,0.090550,-0.11785,0.23795,506.77,0.022455,0.086123,0,0.66,0.5075,ind s,1.0618904447,0.8888296885,1.2686472235
chage,5,0.100026,0.011723,0.07699,0.12306,482.83,0.096991,0.104624,0,8.53,<.0001,ind s,1.1051991814,1.0800333026,1.1309514508
white,5,-0.093295,0.121155,-0.33177,0.14518,284.51,-0.156572,-0.058259,0,-0.77,0.4419,ind s,0.9109246,0.7176536094,1.1562453195
sex,5,-0.438387,0.059956,-0.55693,-0.31984,138.72,-0.457569,-0.411663,0,-7.31,<.0001,ind s,0.6450758018,0.5729636969,0.7262637969
INTERCEPT,5,-5.253966,0.254164,-5.75488,-4.75306,219.86,-5.347539,-5.136586,0,-20.67,<.0001,ind s,0.0052267473,0.0031672981,0.008625297
supera_m,5,0.057432,0.034029,-0.01055,0.12542,63.858,0.035838,0.076845,0,1.69,0.0963,ind s,1.0591135607,0.9895047132,1.1336191931
resta_m,5,0.015131,0.008503,-0.00160,0.03186,302.43,0.012254,0.019185,0,1.78,0.0762,ind s,1.0152458717,0.9984000563,1.0323759234
fasta_m,5,-0.010292,0.010548,-0.03129,0.01071,78.352,-0.017224,-0.006905,0,-0.98,0.3322,ind s,0.9897610549,0.9691955347,1.0107629584
conva_m,5,-0.048796,0.049126,-0.14673,0.04914,71.887,-0.070262,-0.019763,0,-0.99,0.3239,ind s,0.9523756261,0.8635279142,1.0503648097
ses_m,5,-0.063558,0.012492,-0.08817,-0.03895,237.2,-0.067598,-0.057293,0,-5.09,<.0001,ind s,0.93842004,0.9156073189,0.9618011492
husbeduc,5,-0.146712,0.043708,-0.23255,-0.06088,610.5,-0.159278,-0.131132,0,-3.36,0.0008,ind s,0.8635426366,0.7925119961,0.9409395555
income,5,-0.053337,0.035134,-0.12248,0.01581,295.9,-0.069922,-0.044819,0,-1.52,0.1301,ind s,0.9480607098,0.8847233753,1.0159323631
midwest,5,0.026636,0.067235,-0.10525,0.15852,1473.2,0.004777,0.042288,0,0.40,0.6920,ind s,1.0269936721,0.9000994832,1.171777145
south,5,-0.006262,0.095746,-0.19649,0.18396,89.704,-0.071415,0.026569,0,-0.07,0.9480,ind s,0.9937573651,0.82161271,1.2019698437
